phoneme,language
b,spanish
β,spanish
d,spanish
ð,spanish
f,spanish
ɡ,spanish
ɣ,spanish
ʝ,spanish
ɟʝ,spanish
k,spanish
l,spanish
ʎ,spanish
m,spanish
ɱ,spanish
n,spanish
ɲ,spanish
ŋ,spanish
p,spanish
r,spanish
ɾ,spanish
s,spanish
θ,spanish
t,spanish
ʧ,spanish
v,spanish
x,spanish
z,spanish
ʃ,spanish
ts,spanish
a,spanish
e,spanish
i,spanish
o,spanish
u,spanish
j,spanish
w,spanish
tɬ,spanish
ˈ,spanish
.,spanish
b,turkish
β,turkish
c,turkish
d,turkish
ʤ,turkish
f,turkish
ɡ,turkish
ɟ,turkish
h,turkish
j,turkish
k,turkish
l,turkish
ɫ,turkish
m,turkish
n,turkish
ɲ,turkish
ŋ,turkish
p,turkish
ɾ,turkish
s,turkish
ʃ,turkish
t,turkish
ʧ,turkish
v,turkish
z,turkish
ʒ,turkish
a,turkish
æ,turkish
e,turkish
i,turkish
o,turkish
œ,turkish
u,turkish
ɯ,turkish
y,turkish
ˈ,turkish
ː,turkish
b,german
ç,german
d,german
f,german
ɡ,german
h,german
j,german
k,german
l,german
l̩,german
m,german
m̩,german
n,german
n̩,german
ŋ,german
p,german
pf,german
ʁ,german
r,german
s,german
ʃ,german
t,german
ts,german
ʧ,german
v,german
x,german
z,german
ʔ,german
ʤ,german
ɹ,german
ʒ,german
ˈ,german
ˌ,german
a,german
aː,german
ɛ,german
ɛː,german
eː,german
ɪ,german
iː,german
ɔ,german
oː,german
œ,german
øː,german
ʊ,german
uː,german
ʏ,german
yː,german
aɪ,german
aʊ,german
ɔʏ,german
ɐ,german
ər,german
ə,german
ɐ̯,german
i̯,german
u̯,german
ãː,german
ɛ̃ː,german
ɛɪ̯,german
õː,german
ɔʊ̯,german
œ̃ː,german
œːɐ̯,german
øːr,german
ã,german
ɛ̃,german
e,german
i,german
o,german
õ,german
œ̃,german
ø,german
u,german
y,german
b,english
d,english
dj,english
ʤ,english
ð,english
f,english
ɡ,english
h,english
hw,english
j,english
k,english
l,english
lj,english
m,english
n,english
nj,english
ŋ,english
p,english
r,english
s,english
sj,english
ʃ,english
t,english
tj,english
ʧ,english
θ,english
θj,english
v,english
w,english
z,english
zj,english
ʒ,english
x,english
ʔ,english
ɒ̃,english
æ̃,english
ɜ,english
ɑ,english
ɒ,english
æ,english
aɪ,english
aʊ,english
ɛ,english
eɪ,english
ɪ,english
i,english
oʊ,english
ɔ,english
ɔɪ,english
ʊ,english
u,english
ʌ,english
ə,english
ɪ,english
i,english
u,english
əl,english
ˈ,english
ˌ,english
ɑr,english
ɒr,english
ær,english
aɪər,english
aɪ.ər,english
aʊər,english
aʊ.ər,english
ɛr,english
eɪər,english
ɪr,english
ɪər,english
iər,english
oʊər,english
ɔr,english
ɔər,english
ɔɪər,english
ɔɪ.ər,english
ʊr,english
ʊər,english
uər,english
ɜr,english
ʌr,english
ər,english
oʊ,english
iə,english
uə,english
ən,english
əm,english
.,english
